word,count
when,2
day,2
comes,2
we,51
ask,1
"ourselves,",1
where,3
can,5
find,2
light,1
in,5
this,7
never-ending,1
shade,1
the,28
loss,1
"carry,",1
a,16
sea,1
must,2
wade,1
we've,5
braved,1
belly,1
of,12
"beast,",1
learned,1
that,12
quiet,1
isn't,3
always,3
"peace,",1
and,25
norms,1
notions,1
what,5
just,2
is,10
justice,1
yet,1
dawn,2
ours,1
before,2
knew,1
it,10
somehow,2
do,1
weathered,1
witnessed,1
nation,3
"broken,",1
but,11
simply,1
unfinished,1
successors,1
country,5
time,1
skinny,1
black,1
girl,1
descended,1
from,8
slaves,1
raised,1
by,2
single,1
mother,1
dream,1
becoming,1
president,1
only,4
to,21
herself,1
reciting,1
for,4
one,6
yes,1
are,3
far,2
polished,1
pristine,1
doesn't,1
mean,1
striving,2
form,1
union,2
perfect,1
forge,1
with,4
"purpose,",1
compose,1
committed,1
all,3
"cultures,",1
"colors,",1
characters,1
conditions,1
man,1
so,4
lift,1
our,17
gazes,1
not,5
stands,2
between,1
"us,",1
us,5
close,1
divide,1
because,5
"know,",1
put,2
future,1
"first,",1
first,2
differences,1
aside,1
lay,1
down,1
arms,2
reach,1
out,2
another,1
seek,1
harm,1
none,1
harmony,1
let,2
"globe,",1
if,7
nothing,1
"else,",1
say,1
"true,",1
even,3
as,4
"grieved,",1
"grew,",1
"hurt,",1
"hoped,",1
"tired,",1
"tried,",1
we'll,1
forever,1
be,8
tied,1
"together,",1
victorious,1
will,12
never,3
again,2
know,2
"defeat,",1
sow,1
division,1
scripture,1
tells,1
envision,1
everyone,1
shall,3
sit,1
under,1
their,2
own,2
vine,1
fig,1
tree,1
no,1
make,1
them,1
afraid,1
we're,3
live,1
up,1
"time,",1
then,2
victory,1
won't,1
lie,1
blade,1
bridges,1
"made,",1
promise,1
"glade,",1
hill,1
climb,1
dare,1
it's,2
being,1
american,1
more,1
than,3
pride,1
"inherit,",1
past,1
step,2
into,2
how,3
repair,1
seen,1
force,1
would,2
shatter,1
rather,1
share,1
destroy,1
meant,1
delaying,1
democracy,2
effort,1
very,1
nearly,1
succeeded,1
while,3
periodically,1
"delayed,",1
permanently,1
defeated,1
"truth,",1
faith,1
trust,1
have,1
eyes,2
on,2
"future,",1
history,1
has,1
its,2
era,1
redemption,1
feared,1
at,1
inception,1
did,1
feel,1
prepared,1
heirs,1
such,1
terrifying,1
hour,1
within,1
found,1
power,1
author,1
new,2
chapter,1
offer,1
hope,1
laughter,1
ourselves,1
once,1
"asked,",1
could,2
possibly,2
prevail,2
over,2
catastrophe,2
now,1
"assert,",1
march,1
back,1
"was,",1
move,1
bruised,1
"whole,",1
benevolent,1
"bold,",1
fierce,1
free,2
turned,1
around,1
or,1
interrupted,1
"intimidation,",1
inaction,1
inertia,1
inheritance,1
next,1
generation,1
blunders,1
become,1
burdens,1
thing,1
"certain,",1
merge,1
mercy,1
"might,",1
might,1
"right,",1
love,1
becomes,1
"legacy,",1
change,1
children's,1
birthright,1
leave,1
behind,1
better,1
were,1
left,1
every,3
breath,1
my,1
bronze-pounded,1
"chest,",1
raise,1
wounded,1
world,1
wondrous,1
rise,4
gold-limbed,1
hills,1
west,1
windswept,1
"northeast,",1
forefathers,1
realized,1
revolution,1
lake-rimmed,1
cities,1
midwestern,1
states,1
sunbaked,1
south,1
"rebuild,",1
reconcile,1
recover,1
known,1
nook,1
corner,1
called,1
"country,",1
people,1
diverse,1
beautiful,2
"emerge,",1
battered,1
"shade,",1
aflame,1
"unafraid,",1
blooms,1
there,1
"light,",1
brave,2
enough,2
see,1
